,Unnamed: 0,created,username,Unnamed: 3,type,dist,climb
0,,2022-10-23 7:59 pmOct 23,Pmars88,,,8 miles,"1,315 ft"
1,,2022-10-23 6:13 pmOct 23,smitod,,,10 miles,"1,508 ft"
2,,2022-10-23 3:55 pmOct 23 s,jongregory,,,10 miles,"1,197 ft"
3,,2022-10-22 7:33 pmOct 22,Seanryther,,,6 miles,801 ft
4,,2022-10-22 6:37 pmOct 22,ChristopheriQubte,,,11 miles,"1,546 ft"
5,,2022-10-22 2:15 pmOct 22,Wildfield,,,11 miles,"1,622 ft"
6,,2022-10-22 12:33 pmOct 22,jdoubles,,,15 miles,"1,016 ft"
7,,2022-10-21 9:53 pmOct 21,ChristopheriQubte,,,1 mile,222 ft
8,,2022-10-20 11:01 pmOct 20,marcoaml78,,XC,17 miles,"1,572 ft"
9,,2022-10-19 2:34 pmOct 19,petergrasse,,Fat,18 miles,708 ft
10,,2022-10-18 11:28 pmOct 18,grantbob94,,AM,21 miles,"2,090 ft"
11,,2022-10-17 7:26 pmOct 17,petergrasse,,Fat,35 miles,"1,753 ft"
12,,2022-10-16 9:28 pmOct 16,niemeyerm,,,10 miles,"1,510 ft"
13,,2022-10-15 9:49 pmOct 15,KendallWelch,,AM,9 miles,"1,257 ft"
14,,2022-10-15 8:03 pmOct 15,RocketRayLCR,,,51 miles,"2,713 ft"
15,,2022-10-15 7:00 pmOct 15,cullub,,,9 miles,"1,276 ft"
16,,2022-10-15 7:00 pmOct 15,jongregory,,,8 miles,"1,029 ft"
17,,2022-10-15 5:35 pmOct 15,2004Volvo,,,9 miles,"1,626 ft"
18,,2022-10-15 5:32 pmOct 15,lQwsw,,,5 miles,973 ft
19,,2022-10-15 3:52 pmOct 15,voghan,,AM,9 miles,"1,501 ft"
20,,2022-10-14 5:35 pmOct 14,Daray,,,10 miles,"1,426 ft"
21,,2022-10-11 2:42 pmOct 11,Hooten,,AM,5 miles,755 ft
22,,2022-10-11 11:02 amOct 11,petergrasse,,Fat,39 miles,"1,134 ft"
23,,2022-10-10 10:45 pmOct 10,ijp11,,,7 miles,347 ft
24,,2022-10-9 10:43 pmOct 9,scottfolland,,,4 miles,359 ft
