,Unnamed: 0,created,username,Unnamed: 3,type,dist,climb
0,,2022-10-23 10:37 pmOct 23,lQwsw,,,6 miles,586 ft
1,,2022-10-23 9:36 pmOct 23,trihard77,,,4 miles,438 ft
2,,2022-10-23 7:04 pmOct 23,loomisdf,,AM,6 miles,617 ft
3,,2022-10-23 7:00 pmOct 23,Mark0MGxeI,,,10 miles,863 ft
4,,2022-10-23 6:46 pmOct 23,yZ2pXk,,,9 miles,853 ft
5,,2022-10-23 6:46 pmOct 23,toadiesforcody,,,10 miles,902 ft
6,,2022-10-23 6:29 pmOct 23,cjammiller,,,5 miles,577 ft
7,,2022-10-23 6:28 pmOct 23,meithkiller,,,6 miles,563 ft
8,,2022-10-23 5:58 pmOct 23,hibby11,,,4 miles,483 ft
9,,2022-10-23 5:51 pmOct 23,AsgFQ,,,11 miles,"1,037 ft"
10,,2022-10-23 5:14 pmOct 23,coreoski,,,7 miles,566 ft
11,,2022-10-23 4:45 pmOct 23,KatyaP,,,10 miles,"1,111 ft"
12,,2022-10-23 4:23 pmOct 23,LeisureSuitL,,,6 miles,634 ft
13,,2022-10-23 4:00 pmOct 23,pbball,,,7 miles,696 ft
14,,2022-10-23 3:54 pmOct 23,astralzombie,,,7 miles,689 ft
15,,2022-10-23 3:45 pmOct 23,Sevo28,,,8 miles,819 ft
16,,2022-10-23 3:08 pmOct 23,PhilKc2ChC,,,7 miles,968 ft
17,,2022-10-23 3:04 pmOct 23,Jfotsch,,,10 miles,993 ft
18,,2022-10-23 3:03 pmOct 23,SnowChristo,,,7 miles,447 ft
19,,2022-10-23 2:51 pmOct 23,Nickgalassi,,,5 miles,485 ft
20,,2022-10-23 2:37 pmOct 23,rsschuldt,,DH,5 miles,454 ft
21,,2022-10-23 2:05 pmOct 23,maxellingson,,,12 miles,"1,366 ft"
22,,2022-10-22 8:36 pmOct 22,Hudsora,,,10 miles,925 ft
23,,2022-10-22 7:07 pmOct 22,DonoLucid,,,7 miles,693 ft
24,,2022-10-22 6:43 pmOct 22,nt5k,,,9 miles,953 ft
25,,2022-10-22 6:38 pmOct 22,toadiesforcody,,,8 miles,707 ft
26,,2022-10-22 6:16 pmOct 22,Giraffable,,,8 miles,820 ft
27,,2022-10-22 5:35 pmOct 22,tuckershreds,,,13 miles,"1,368 ft"
28,,2022-10-22 4:46 pmOct 22,Chandler61,,,8 miles,670 ft
29,,2022-10-22 4:23 pmOct 22,JayVAndy77,,,20 miles,"2,040 ft"
30,,2022-10-22 4:12 pmOct 22,ChristopherDOvxZw,,,6 miles,693 ft
31,,2022-10-22 4:01 pmOct 22,ChristopherDOvxZw,,,"2,710 ft",35 ft
32,,2022-10-22 3:39 pmOct 22,Bikejunky1,,,11 miles,682 ft
33,,2022-10-22 3:39 pmOct 22,SnowChristo,,,12 miles,"1,073 ft"
34,,2022-10-22 3:22 pmOct 22,SNK922,,,10 miles,836 ft
35,,2022-10-22 3:13 pmOct 22,MankatoFreerider,,,6 miles,804 ft
36,,2022-10-22 1:39 pmOct 22,RiverMonster37,,,9 miles,"1,133 ft"
37,,2022-10-22 1:12 pmOct 22,XploringDave,,,12 miles,990 ft
38,,2022-10-22 12:50 pmOct 22,kmolland,,,9 miles,694 ft
39,,2022-10-22 12:49 pmOct 22,shakomoser55,,,17 miles,"1,727 ft"
40,,2022-10-22 12:06 amOct 22,nt5k,,,7 miles,683 ft
41,,2022-10-21 10:08 pmOct 21,Rnicholas,,,7 miles,611 ft
42,,2022-10-21 8:57 pmOct 21,kmolland,,,8 miles,712 ft
43,,2022-10-21 8:54 pmOct 21,Cory117,,,5 miles,642 ft
44,,2022-10-21 8:02 pmOct 21,enorcrove,,,5 miles,435 ft
45,,2022-10-21 7:46 pmOct 21,jonathangamlin,,,13 miles,"1,151 ft"
46,,2022-10-21 7:09 pmOct 21,7619Nyborg,,,6 miles,600 ft
47,,2022-10-21 6:01 pmOct 21,MBTodd,,,10 miles,"1,036 ft"
48,,2022-10-21 4:01 pmOct 21,Anexplosifloris,,,6 miles,681 ft
49,,2022-10-21 3:16 pmOct 21,Joeymga6,,,8 miles,750 ft
50,,2022-10-21 2:49 pmOct 21,Rydevries,,,6 miles,597 ft
51,,2022-10-20 10:03 pmOct 20,toadiesforcody,,,8 miles,934 ft
52,,2022-10-20 10:01 pmOct 20,Silverado08,,,6 miles,653 ft
53,,2022-10-20 9:58 pmOct 20,shakomoser55,,,16 miles,"1,598 ft"
54,,2022-10-20 8:38 pmOct 20,jongregory,,,9 miles,743 ft
55,,2022-10-20 6:26 pmOct 20,XploringDave,,,21 miles,"1,719 ft"
56,,2022-10-19 11:13 pmOct 19,gfedz,,XC,5 miles,449 ft
57,,2022-10-19 11:04 pmOct 19,Miahbike,,,8 miles,737 ft
58,,2022-10-19 10:31 pmOct 19,toadiesforcody,,,8 miles,740 ft
59,,2022-10-19 9:43 pmOct 19,bigpimpin1,,,4 miles,625 ft
60,,2022-10-19 9:04 pmOct 19,JordoDoesIt,,,2 miles,130 ft
61,,2022-10-19 7:05 pmOct 19,Jessev5kQnc,,,6 miles,745 ft
62,,2022-10-18 2:59 pmOct 18,Jessev5kQnc,,,9 miles,939 ft
63,,2022-10-16 6:26 pmOct 16,Jessev5kQnc,,,7 miles,852 ft
64,,2022-10-16 5:58 pmOct 16,toadiesforcody,,,8 miles,717 ft
65,,2022-10-16 4:54 pmOct 16,BERT629,,,7 miles,804 ft
66,,2022-10-16 3:45 pmOct 16,clars100,,,8 miles,918 ft
67,,2022-10-16 3:03 pmOct 16,FatBoyFord,,,9 miles,748 ft
68,,2022-10-16 2:45 pmOct 16,voghan,,AM,10 miles,988 ft
69,,2022-10-16 2:44 pmOct 16,TKETTLE,,AM,12 miles,"1,173 ft"
70,,2022-10-16 2:40 pmOct 16,Johris18,,,8 miles,934 ft
71,,2022-10-16 2:30 pmOct 16,XploringDave,,,12 miles,904 ft
72,,2022-10-16 2:19 pmOct 16,Petebikes84,,,1 mile,118 ft
73,,2022-10-16 2:07 pmOct 16,linx0003,,,9 miles,817 ft
74,,2022-10-15 8:10 pmOct 15,Hudsora,,,9 miles,863 ft
75,,2022-10-15 7:56 pmOct 15,shakomoser55,,,18 miles,"1,719 ft"
76,,2022-10-15 7:42 pmOct 15,toadiesforcody,,,8 miles,789 ft
77,,2022-10-15 6:35 pmOct 15,dylancmiller,,,6 miles,611 ft
78,,2022-10-14 7:35 pmOct 14,hollyanne99,,,14 miles,"1,152 ft"
79,,2022-10-14 7:35 pmOct 14,jkruchoski,,,14 miles,"1,177 ft"
80,,2022-10-13 10:19 pmOct 13,dwdejong,,,3 miles,347 ft
81,,2022-10-13 10:09 pmOct 13,mattlnec,,,5 miles,577 ft
82,,2022-10-13 10:07 pmOct 13,brianshoemaker,,AM,7 miles,792 ft
83,,2022-10-13 9:57 pmOct 13,WilliamD8wIee,,,6 miles,540 ft
84,,2022-10-13 9:47 pmOct 13,mtbtobymn,,,9 miles,643 ft
85,,2022-10-13 9:32 pmOct 13,Adcollier,,,6 miles,625 ft
86,,2022-10-13 9:01 pmOct 13,Rydevries,,,8 miles,819 ft
87,,2022-10-13 6:13 pmOct 13,Mofoo,,AM,7 miles,773 ft
88,,2022-10-13 5:44 pmOct 13,scottanelson3616,,Fat,6 miles,572 ft
89,,2022-10-12 11:23 pmOct 12,toadiesforcody,,,7 miles,791 ft
90,,2022-10-12 10:33 pmOct 12,Krblaser,,,8 miles,856 ft
91,,2022-10-12 5:00 pmOct 12,jonathangamlin,,,12 miles,"1,128 ft"
92,,2022-10-12 11:12 amOct 12,cjb41191,,,6 miles,530 ft
93,,2022-10-11 11:13 pmOct 11,tuckershreds,,,6 miles,525 ft
94,,2022-10-11 10:09 pmOct 11,randomlad,,,10 miles,"1,083 ft"
95,,2022-10-11 10:03 pmOct 11,Senatorp,,,9 miles,911 ft
96,,2022-10-11 9:50 pmOct 11,violed23,,,8 miles,780 ft
97,,2022-10-11 8:43 pmOct 11,fjespinozac,,AM,10 miles,"1,023 ft"
98,,2022-10-11 8:40 pmOct 11,MNtrailSloth,,,12 miles,"1,238 ft"
99,,2022-10-11 7:16 pmOct 11,Jessev5kQnc,,,6 miles,630 ft
100,,2022-10-11 6:45 pmOct 11,Mofoo,,AM,7 miles,708 ft
101,,2022-10-11 6:14 pmOct 11,DavidetdWxL,,,8 miles,823 ft
102,,2022-10-11 6:10 pmOct 11,offcamber650b,,,5 miles,325 ft
103,,2022-10-11 6:08 pmOct 11,Eadams2,,AM,14 miles,"1,318 ft"
104,,2022-10-11 5:25 pmOct 11,Buttpunx,,,16 miles,"1,580 ft"
105,,2022-10-11 4:17 pmOct 11,yougotborked,,DH,7 miles,671 ft
106,,2022-10-11 3:30 pmOct 11,XploringDave,,,11 miles,977 ft
107,,2022-10-11 3:14 pmOct 11,alexjsmetana,,,9 miles,738 ft
108,,2022-10-10 11:44 pmOct 10,Krblaser,,,10 miles,978 ft
109,,2022-10-10 11:24 pmOct 10,ryberglund,,,10 miles,"1,000 ft"
110,,2022-10-10 11:18 pmOct 10,ACarrell,,,6 miles,480 ft
111,,2022-10-10 11:13 pmOct 10,marcoaml78,,XC,6 miles,619 ft
112,,2022-10-10 10:27 pmOct 10,TylerCbN2Ea,,,7 miles,538 ft
113,,2022-10-10 10:21 pmOct 10,JordoDoesIt,,,9 miles,987 ft
114,,2022-10-10 10:06 pmOct 10,BikerTyGuy,,DH,7 miles,801 ft
115,,2022-10-10 9:53 pmOct 10,uber419,,,11 miles,877 ft
116,,2022-10-10 11:50 pmOct 10,grantbob94,,AM,10 miles,940 ft
117,,2022-10-10 9:48 pmOct 10,toadiesforcody,,,15 miles,"1,341 ft"
118,,2022-10-10 7:30 pmOct 10,wmachmeier,,,15 miles,"1,700 ft"
119,,2022-10-10 6:50 pmOct 10,Silverado08,,,7 miles,700 ft
120,,2022-10-10 5:38 pmOct 10,RamaRama,,,7 miles,817 ft
121,,2022-10-9 8:41 pmOct 9,Nathanloehrs,,,6 miles,788 ft
122,,2022-10-9 8:16 pmOct 9,Silverado08,,,8 miles,684 ft
123,,2022-10-9 8:10 pmOct 9,Bleibovich,,,5 miles,537 ft
124,,2022-10-9 7:21 pmOct 9,nt5k,,,9 miles,833 ft
125,,2022-10-9 6:54 pmOct 9,tuckershreds,,,11 miles,"1,147 ft"
126,,2022-10-9 6:48 pmOct 9,L8xeoc,,,6 miles,409 ft
127,,2022-10-9 6:28 pmOct 9,danesolberg,,,9 miles,812 ft
128,,2022-10-9 6:14 pmOct 9,Tealy33,,,3 miles,294 ft
129,,2022-10-9 4:45 pmOct 9,Johris18,,,8 miles,740 ft
130,,2022-10-9 4:00 pmOct 9,95fire,,,11 miles,"1,056 ft"
131,,2022-10-9 3:28 pmOct 9,scottanelson3616,,Fat,6 miles,625 ft
132,,2022-10-9 3:03 pmOct 9,violed23,,,18 miles,"1,626 ft"
133,,2022-10-9 2:40 pmOct 9,brianshoemaker,,AM,10 miles,939 ft
134,,2022-10-9 2:38 pmOct 9,rsschuldt,,DH,3 miles,276 ft
135,,2022-10-9 2:08 pmOct 9,voghan,,AM,10 miles,"1,062 ft"
136,,2022-10-8 10:37 pmOct 8,schwartz67,,,4 miles,348 ft
137,,2022-10-8 10:16 pmOct 8,bricollins,,,6 miles,615 ft
138,,2022-10-8 9:01 pmOct 8,JordonFiske,,,7 miles,889 ft
139,,2022-10-8 6:15 pmOct 8,hostlie,,,16 miles,"1,606 ft"
140,,2022-10-8 5:33 pmOct 8,Mikrut32,,,3 miles,245 ft
141,,2022-10-8 5:23 pmOct 8,Lostinolaf,,,10 miles,"1,020 ft"
142,,2022-10-8 5:16 pmOct 8,fjespinozac,,AM,10 miles,923 ft
143,,2022-10-8 4:53 pmOct 8,Wizardbongs,,,12 miles,927 ft
144,,2022-10-8 3:14 pmOct 8,PhilKc2ChC,,,10 miles,959 ft
145,,2022-10-8 3:12 pmOct 8,DanLUbws7,,,9 miles,932 ft
146,,2022-10-8 2:23 pmOct 8,lQwsw,,,7 miles,806 ft
147,,2022-10-7 10:18 pmOct 7,pasdom1,,,7 miles,549 ft
148,,2022-10-7 10:05 pmOct 7,Silverado08,,,3 miles,208 ft
149,,2022-10-7 8:47 pmOct 7,BikerTyGuy,,DH,7 miles,835 ft
150,,2022-10-7 8:11 pmOct 7,violed23,,,14 miles,"1,292 ft"
151,,2022-10-7 7:17 pmOct 7,Daray,,,9 miles,925 ft
152,,2022-10-7 5:58 pmOct 7,Lostinolaf,,,9 miles,842 ft
153,,2022-10-7 1:49 pmOct 7,Johris18,,,7 miles,608 ft
154,,2022-10-6 10:35 pmOct 6,Tmartini,,,4 miles,346 ft
155,,2022-10-6 10:09 pmOct 6,brianshoemaker,,AM,8 miles,906 ft
156,,2022-10-6 8:30 pmOct 6,radian23,,,5 miles,571 ft
157,,2022-10-6 8:00 pmOct 6,XploringDave,,,11 miles,"1,075 ft"
158,,2022-10-6 4:40 pmOct 6,Sevo28,,,7 miles,653 ft
159,,2022-10-6 3:51 pmOct 6,WAB,,,18 miles,"1,551 ft"
160,,2022-10-6 3:46 pmOct 6,JordoDoesIt,,,9 miles,877 ft
161,,2022-10-5 11:54 pmOct 5,KendallWelch,,AM,8 miles,688 ft
162,,2022-10-5 11:54 pmOct 5,shakomoser55,,,11 miles,"1,111 ft"
163,,2022-10-5 11:20 pmOct 5,brandonBcKEGu,,,7 miles,666 ft
164,,2022-10-5 11:12 pmOct 5,AsgFQ,,,19 miles,"1,202 ft"
165,,2022-10-5 10:06 pmOct 5,Eddie427,,,8 miles,813 ft
166,,2022-10-5 10:04 pmOct 5,Bcieluch,,,8 miles,755 ft
167,,2022-10-5 10:01 pmOct 5,Dodson,,,6 miles,377 ft
168,,2022-10-5 9:50 pmOct 5,bpsmpls,,,8 miles,806 ft
169,,2022-10-5 8:16 pmOct 5,Daray,,,7 miles,716 ft
170,,2022-10-5 5:57 pmOct 5,Swift618,,AM,7 miles,716 ft
171,,2022-10-5 5:57 pmOct 5,pasdom1,,,11 miles,933 ft
172,,2022-10-5 5:44 pmOct 5,toadiesforcody,,,8 miles,741 ft
