,Unnamed: 0,created,username,Unnamed: 3,type,dist,climb
0,,2022-10-23 9:54 pmOct 23,Epcahanes,,,3 miles,143 ft
1,,2022-10-23 8:45 pmOct 23,jcordell13,,,6 miles,428 ft
2,,2022-10-23 8:03 pmOct 23,Rydevries,,,10 miles,765 ft
3,,2022-10-23 7:32 pmOct 23,waffleswaffles,,,9 miles,808 ft
4,,2022-10-23 7:01 pmOct 23,stokes72,,,10 miles,864 ft
5,,2022-10-23 5:47 pmOct 23,Zx10freak,,XC,11 miles,915 ft
6,,2022-10-23 5:45 pmOct 23,95fire,,,11 miles,847 ft
7,,2022-10-23 3:12 pmOct 23,Slombard,,AM,10 miles,780 ft
8,,2022-10-23 3:09 pmOct 23,Uff-Da,,,10 miles,758 ft
9,,2022-10-22 9:06 pmOct 22,Charvey3,,,9 miles,886 ft
10,,2022-10-22 7:39 pmOct 22,PhilKc2ChC,,,11 miles,"1,069 ft"
11,,2022-10-22 6:17 pmOct 22,AdobeAwesome,,,11 miles,"1,018 ft"
12,,2022-10-22 3:11 pmOct 22,Slombard,,AM,10 miles,776 ft
13,,2022-10-22 2:18 pmOct 22,maxellingson,,,10 miles,787 ft
14,,2022-10-21 9:16 pmOct 21,eakqL6,,,11 miles,895 ft
15,,2022-10-21 6:56 pmOct 21,schwartz67,,,9 miles,607 ft
16,,2022-10-21 6:33 pmOct 21,dachoutom,,,6 miles,357 ft
17,,2022-10-21 6:04 pmOct 21,pbball,,,10 miles,811 ft
18,,2022-10-20 9:09 pmOct 20,SavageCyclist,,,11 miles,644 ft
19,,2022-10-20 8:44 pmOct 20,Slombard,,AM,10 miles,844 ft
20,,2022-10-20 6:11 pmOct 20,mcgroskreutz,,XC,23 miles,"1,665 ft"
21,,2022-10-19 11:44 pmOct 19,mukkinaround,,XC,11 miles,834 ft
22,,2022-10-18 11:24 pmOct 18,Daray,,,7 miles,426 ft
23,,2022-10-17 7:38 pmOct 17,sudocrushms,,,9 miles,783 ft
24,,2022-10-16 9:53 pmOct 16,jongregory,,,10 miles,635 ft
25,,2022-10-16 7:29 pmOct 16,tuckershreds,,,11 miles,850 ft
26,,2022-10-16 7:02 pmOct 16,ElliotZismerzL8,,,10 miles,805 ft
27,,2022-10-16 6:05 pmOct 16,Senatorp,,,16 miles,"1,175 ft"
28,,2022-10-16 4:05 pmOct 16,Slombard,,AM,10 miles,978 ft
29,,2022-10-16 2:34 pmOct 16,jak612,,,10 miles,853 ft
30,,2022-10-16 2:00 pmOct 16,mcgroskreutz,,XC,16 miles,"1,002 ft"
31,,2022-10-15 9:00 pmOct 15,hollyanne99,,,18 miles,"1,475 ft"
32,,2022-10-15 9:00 pmOct 15,jkruchoski,,,18 miles,"1,412 ft"
33,,2022-10-15 7:42 pmOct 15,ThePhenom170,,,11 miles,794 ft
34,,2022-10-15 6:32 pmOct 15,Jessev5kQnc,,,10 miles,930 ft
35,,2022-10-15 6:00 pmOct 15,stokes72,,,10 miles,866 ft
36,,2022-10-15 5:27 pmOct 15,wmachmeier,,,20 miles,"1,877 ft"
37,,2022-10-13 10:22 pmOct 13,Blunde,,,16 miles,923 ft
38,,2022-10-13 10:19 pmOct 13,ErikMoe01,,,8 miles,480 ft
39,,2022-10-13 10:18 pmOct 13,Rnicholas,,,9 miles,716 ft
40,,2022-10-13 10:11 pmOct 13,Silverado08,,,8 miles,645 ft
41,,2022-10-11 11:23 pmOct 11,mukkinaround,,XC,11 miles,879 ft
42,,2022-10-11 10:25 pmOct 11,maxellingson,,,13 miles,984 ft
43,,2022-10-11 10:02 pmOct 11,awood,,,10 miles,903 ft
44,,2022-10-11 9:59 pmOct 11,mnmtb LCA,,AM,3 miles,213 ft
45,,2022-10-11 9:48 pmOct 11,tedsks,,,10 miles,803 ft
46,,2022-10-11 12:21 pmOct 11,Daray,,,9 miles,798 ft
47,,2022-10-11 1:25 amOct 11,amattys,,,5 miles,295 ft
48,,2022-10-10 11:25 pmOct 10,jak612,,,10 miles,752 ft
49,,2022-10-10 7:01 pmOct 10,jasongerken,,AM,21 miles,"1,653 ft"
50,,2022-10-9 8:35 pmOct 9,hibby11,,,6 miles,393 ft
51,,2022-10-9 5:40 pmOct 9,fjespinozac,,AM,11 miles,807 ft
52,,2022-10-9 5:33 pmOct 9,Beancounter7791,,,10 miles,587 ft
53,,2022-10-9 5:02 pmOct 9,Bleibovich,,,11 miles,835 ft
54,,2022-10-9 4:16 pmOct 9,trihard77,,,15 miles,"1,317 ft"
55,,2022-10-9 2:27 pmOct 9,Dbowar,,AM,19 miles,"1,629 ft"
56,,2022-10-8 8:09 pmOct 8,cjammiller,,,10 miles,885 ft
57,,2022-10-8 5:55 pmOct 8,chrisbroden,,AM,3 miles,156 ft
58,,2022-10-8 2:23 pmOct 8,Quinnrm,,,10 miles,827 ft
59,,2022-10-8 1:07 pmOct 8,Joeymga6,,,16 miles,"1,513 ft"
60,,2022-10-7 9:17 pmOct 7,Miahbike,,,10 miles,871 ft
61,,2022-10-7 10:42 amOct 7,amattys,,,9 miles,756 ft
62,,2022-10-6 10:28 pmOct 6,Rnicholas,,,10 miles,759 ft
63,,2022-10-6 10:26 pmOct 6,Blunde,,,9 miles,549 ft
64,,2022-10-6 10:24 pmOct 6,ErikMoe01,,,9 miles,551 ft
65,,2022-10-6 10:14 pmOct 6,awood,,,6 miles,377 ft
66,,2022-10-6 10:07 pmOct 6,delacr0ix,,Gravel,10 miles,878 ft
67,,2022-10-6 8:35 pmOct 6,Jzedanvt,,,13 miles,964 ft
68,,2022-10-6 5:20 pmOct 6,Jessev5kQnc,,,10 miles,823 ft
69,,2022-10-6 4:20 pmOct 6,warrenjmoser,,AM,10 miles,839 ft
70,,2022-10-5 11:23 pmOct 5,Jessev5kQnc,,,10 miles,822 ft
71,,2022-10-5 11:06 pmOct 5,Miahbike,,,10 miles,837 ft
72,,2022-10-5 10:31 pmOct 5,clars100,,,11 miles,868 ft
73,,2022-10-5 10:08 pmOct 5,seanstahl,,,11 miles,764 ft
74,,2022-10-5 4:53 pmOct 5,Slombard,,AM,10 miles,799 ft
75,,2022-10-4 11:40 pmOct 4,ThePhenom170,,,"1,266 ft",7 ft
76,,2022-10-4 10:51 pmOct 4,ThePhenom170,,,11 miles,763 ft
77,,2022-10-4 10:19 pmOct 4,douglasallanmn,,,8 miles,820 ft
78,,2022-10-4 10:09 pmOct 4,mattlnec,,,8 miles,677 ft
79,,2022-10-4 9:08 pmOct 4,tedsks,,,10 miles,814 ft
80,,2022-10-4 6:45 pmOct 4,Mpearce,,,14 miles,"1,012 ft"
