date,username,type,dist_miles,climb_miles,region,year,month,day,weekday_num,weekday,month_name
2022-11-04,minnesotashred,unknown,5.0,0.151704594,battle-creek-5538,2022,11,4,4,Friday,Nov
2022-11-03,awgator,unknown,10.0,0.282575848,battle-creek-5538,2022,11,3,3,Thursday,Nov
2022-11-03,Daray,unknown,3.0,0.09261366600000001,battle-creek-5538,2022,11,3,3,Thursday,Nov
2022-11-03,Daray,unknown,7.0,0.168750054,battle-creek-5538,2022,11,3,3,Thursday,Nov
2022-11-02,Cote0020,unknown,15.0,0.260227356,battle-creek-5538,2022,11,2,2,Wednesday,Nov
2022-10-30,ijp11,unknown,12.0,0.376325878,battle-creek-5538,2022,10,30,6,Sunday,Oct
2022-10-30,Dayander,unknown,7.0,0.264394024,battle-creek-5538,2022,10,30,6,Sunday,Oct
2022-10-30,JannayLIn0q,unknown,9.0,0.252462202,battle-creek-5538,2022,10,30,6,Sunday,Oct
2022-10-30,jakethechameleon,unknown,9.0,0.25757584,battle-creek-5538,2022,10,30,6,Sunday,Oct
2022-10-30,seanpaulpizza,unknown,12.0,0.345265262,battle-creek-5538,2022,10,30,6,Sunday,Oct
2022-10-30,Murkev,unknown,9.0,0.252462202,battle-creek-5538,2022,10,30,6,Sunday,Oct
2022-10-29,niemeyerm,unknown,10.0,0.307197068,battle-creek-5538,2022,10,29,5,Saturday,Oct
2022-10-29,Briscoelab,unknown,9.0,0.21250006800000001,battle-creek-5538,2022,10,29,5,Saturday,Oct
2022-10-29,Jthone,unknown,9.0,0.212310674,battle-creek-5538,2022,10,29,5,Saturday,Oct
2022-10-29,ChristopheriQubte,unknown,14.0,0.394128914,battle-creek-5538,2022,10,29,5,Saturday,Oct
2022-10-29,JFDI,unknown,8.0,0.22500007200000002,battle-creek-5538,2022,10,29,5,Saturday,Oct
2022-10-29,voghan,AM,11.0,0.336363744,battle-creek-5538,2022,10,29,5,Saturday,Oct
2022-10-28,fango925,unknown,8.0,0.250189474,battle-creek-5538,2022,10,28,4,Friday,Oct
2022-10-28,MPLSdon,unknown,9.0,0.261931902,battle-creek-5538,2022,10,28,4,Friday,Oct
2022-10-28,Pablo4130,unknown,5.0,0.13731065,battle-creek-5538,2022,10,28,4,Friday,Oct
2022-10-27,DavidetdWxL,unknown,13.0,0.280113726,battle-creek-5538,2022,10,27,3,Thursday,Oct
2022-10-26,fango925,unknown,10.0,0.332575864,battle-creek-5538,2022,10,26,2,Wednesday,Oct
2022-10-26,Bcieluch,unknown,10.0,0.270075844,battle-creek-5538,2022,10,26,2,Wednesday,Oct
2022-10-25,fango925,unknown,12.0,0.33428041000000003,battle-creek-5538,2022,10,25,1,Tuesday,Oct
2022-10-25,Daray,unknown,9.0,0.24564401800000002,battle-creek-5538,2022,10,25,1,Tuesday,Oct
2022-10-25,GoxhJt,unknown,3.0,0.09564397000000001,battle-creek-5538,2022,10,25,1,Tuesday,Oct
2022-10-23,Pmars88,unknown,8.0,0.24905311000000002,battle-creek-5538,2022,10,23,6,Sunday,Oct
2022-10-23,smitod,unknown,10.0,0.285606152,battle-creek-5538,2022,10,23,6,Sunday,Oct
2022-10-23,jongregory,unknown,10.0,0.22670461800000002,battle-creek-5538,2022,10,23,6,Sunday,Oct
2022-10-22,Seanryther,unknown,6.0,0.151704594,battle-creek-5538,2022,10,22,5,Saturday,Oct
2022-10-22,ChristopheriQubte,unknown,11.0,0.292803124,battle-creek-5538,2022,10,22,5,Saturday,Oct
2022-10-22,Wildfield,unknown,11.0,0.307197068,battle-creek-5538,2022,10,22,5,Saturday,Oct
2022-10-22,jdoubles,unknown,15.0,0.19242430400000002,battle-creek-5538,2022,10,22,5,Saturday,Oct
2022-10-21,ChristopheriQubte,unknown,1.0,0.042045468,battle-creek-5538,2022,10,21,4,Friday,Oct
2022-10-20,marcoaml78,XC,17.0,0.297727368,battle-creek-5538,2022,10,20,3,Thursday,Oct
2022-10-19,petergrasse,Fat,18.0,0.134090952,battle-creek-5538,2022,10,19,2,Wednesday,Oct
2022-10-18,grantbob94,AM,21.0,0.39583346,battle-creek-5538,2022,10,18,1,Tuesday,Oct
2022-10-17,petergrasse,Fat,35.0,0.332007682,battle-creek-5538,2022,10,17,0,Monday,Oct
2022-10-16,niemeyerm,unknown,10.0,0.28598494,battle-creek-5538,2022,10,16,6,Sunday,Oct
2022-10-15,KendallWelch,AM,9.0,0.238068258,battle-creek-5538,2022,10,15,5,Saturday,Oct
2022-10-15,RocketRayLCR,unknown,51.0,0.513825922,battle-creek-5538,2022,10,15,5,Saturday,Oct
2022-10-15,cullub,unknown,9.0,0.24166674400000002,battle-creek-5538,2022,10,15,5,Saturday,Oct
2022-10-15,jongregory,unknown,8.0,0.194886426,battle-creek-5538,2022,10,15,5,Saturday,Oct
2022-10-15,2004Volvo,unknown,9.0,0.307954644,battle-creek-5538,2022,10,15,5,Saturday,Oct
2022-10-15,lQwsw,unknown,5.0,0.184280362,battle-creek-5538,2022,10,15,5,Saturday,Oct
2022-10-15,voghan,AM,9.0,0.284280394,battle-creek-5538,2022,10,15,5,Saturday,Oct
2022-10-14,Daray,unknown,10.0,0.270075844,battle-creek-5538,2022,10,14,4,Friday,Oct
2022-10-11,Hooten,AM,5.0,0.14299247,battle-creek-5538,2022,10,11,1,Tuesday,Oct
2022-10-11,petergrasse,Fat,39.0,0.21477279600000002,battle-creek-5538,2022,10,11,1,Tuesday,Oct
2022-10-10,ijp11,unknown,7.0,0.06571971800000001,battle-creek-5538,2022,10,10,0,Monday,Oct
2022-10-09,scottfolland,unknown,4.0,0.067992446,battle-creek-5538,2022,10,9,6,Sunday,Oct
2022-10-09,Briscoelab,unknown,9.0,0.19507582,battle-creek-5538,2022,10,9,6,Sunday,Oct
2022-10-09,BlackVR,unknown,5.0,0.149431866,battle-creek-5538,2022,10,9,6,Sunday,Oct
2022-10-09,KendallWelch,AM,8.0,0.21875007000000002,battle-creek-5538,2022,10,9,6,Sunday,Oct
2022-10-08,Pablo4130,unknown,7.0,0.185037938,battle-creek-5538,2022,10,8,5,Saturday,Oct
2022-10-08,wmachmeier,unknown,8.0,0.197159154,battle-creek-5538,2022,10,8,5,Saturday,Oct
2022-10-08,smitod,unknown,11.0,0.31439404000000004,battle-creek-5538,2022,10,8,5,Saturday,Oct
2022-10-08,Krblaser,unknown,10.0,0.27291675400000004,battle-creek-5538,2022,10,8,5,Saturday,Oct
2022-10-08,Stardusky,unknown,3.0,0.086553058,battle-creek-5538,2022,10,8,5,Saturday,Oct
2022-10-08,npaganopsu,unknown,9.0,0.23787886400000002,battle-creek-5538,2022,10,8,5,Saturday,Oct
2022-10-08,Jafuschetto,unknown,6.0,0.16761369,battle-creek-5538,2022,10,8,5,Saturday,Oct
2022-10-07,grantbob94,AM,20.0,0.40397740200000004,battle-creek-5538,2022,10,7,4,Friday,Oct
2022-10-06,illbmxer,unknown,4.0,0.14261368200000002,battle-creek-5538,2022,10,6,3,Thursday,Oct
2022-10-06,SandbarMTB,unknown,8.0,0.23731068200000002,battle-creek-5538,2022,10,6,3,Thursday,Oct
2022-10-06,mtbtobymn,unknown,12.0,0.289015244,battle-creek-5538,2022,10,6,3,Thursday,Oct
2022-10-06,Rydevries,unknown,3.0,0.087310634,battle-creek-5538,2022,10,6,3,Thursday,Oct
2022-10-05,dereckF2IcjY,unknown,8.0,0.202272792,battle-creek-5538,2022,10,5,2,Wednesday,Oct
2022-10-04,HMTB763,unknown,8.0,0.216287948,battle-creek-5538,2022,10,4,1,Tuesday,Oct
