title,difficulty,region_title,distance,dst_climb,dst_descent,dst_flat,total_miles,descent_miles,ascent_miles,flat_miles
Big Wheezy,Blue,Battle Creek,"2,212","1,344",505,363,0.418939528,0.09564397000000001,0.254545536,0.06875002200000001
Dingo Switchback,Blue,Battle Creek,"2,208",699,"1,453",56,0.418181952,0.27518948200000004,0.132386406,0.010606064
Drop Into Pine,Black Diamond,Battle Creek,751,154,440,157,0.142234894,0.08333336000000001,0.029166676000000002,0.029734858000000003
Express Lane,Black Diamond,Battle Creek,"1,183",138,689,356,0.224053102,0.130492466,0.026136372,0.067424264
Fern Gully,Blue,Battle Creek,"2,349","1,703",515,135,0.444886506,0.09753791,0.322537982,0.02556819
Freight Train,Black Diamond,Battle Creek,"1,982",548,"1,109",203,0.375378908,0.210037946,0.10378791200000001,0.038446982000000005
Gnar Dog,Black Diamond,Battle Creek,"1,224",269,814,142,0.231818256,0.154166716,0.050946986,0.026893948
Goat,Black Diamond,Battle Creek,"2,375",338,"1,995",39,0.44981075000000004,0.37784103,0.06401517200000001,0.007386366
GOAT Loop Climb,Black Diamond,Battle Creek,"2,221","1,713",305,203,0.42064407400000003,0.057765170000000005,0.32443192200000004,0.038446982000000005
Jesus Saves,Black Diamond,Battle Creek,"2,217","1,303",548,366,0.419886498,0.10378791200000001,0.24678038200000002,0.06931820400000001
Jordan's River Chute,Black Diamond,Battle Creek,475,49,418,8,0.08996215,0.07916669200000001,0.009280306,0.001515152
Kelm's Chute,Black Diamond,Battle Creek,280,0,280,0,0.053030320000000006,0.053030320000000006,0.0,0.0
Kinda Easy Kaiser,Blue,Battle Creek,428,92,274,61,0.08106063200000001,0.051893956000000005,0.017424248,0.011553034
Meadow Ski Connector,Green,Battle Creek,861,186,360,294,0.163068234,0.06818184000000001,0.035227284000000005,0.055681836000000005
On Your Left,Green,Battle Creek,959,620,340,0,0.181628846,0.06439396,0.11742428,0.0
Overgrown Road,Access Trail or Doubletrack,Battle Creek,"2,441","1,801",384,259,0.46231075400000005,0.072727296,0.34109859400000003,0.049053046
Paved Connector,Access Trail or Doubletrack,Battle Creek,"4,357","3,323",384,646,0.825189658,0.072727296,0.629356262,0.122348524
Picnic Loop,Blue,Battle Creek,"1,780",930,638,211,0.33712132,0.12083337200000001,0.17613642000000002,0.039962134
Pine Climb,Blue,Battle Creek,797,676,0,0,0.15094701800000002,0.0,0.12803034400000002,0.0
Road to Luge,Access Trail or Doubletrack,Battle Creek,"1,529",138,896,341,0.28958342600000003,0.169697024,0.026136372,0.06458335400000001
Short Way Back,Green,Battle Creek,"1,578",392,591,595,0.298863732,0.11193185400000001,0.074242448,0.11268943000000001
