,Unnamed: 0,created,username,Unnamed: 3,type,dist,climb
0,,2022-10-24 1:03 pmOct 24,icebvrg,,RD,27 miles,995 ft
1,,2022-10-24 11:37 amOct 24,alfotsch,,,8 miles,795 ft
2,,2022-10-24 11:28 amOct 24,Jfotsch,,,6 miles,469 ft
3,,2022-10-23 11:25 pmOct 23,niemeyerm,,,8 miles,850 ft
4,,2022-10-23 9:40 pmOct 23,Erichill,,,5 miles,239 ft
5,,2022-10-23 8:18 pmOct 23,Mjlatour,,,8 miles,554 ft
6,,2022-10-23 8:03 pmOct 23,verbeke06,,,17 miles,817 ft
7,,2022-10-23 7:47 pmOct 23,Mfriggens,,,11 miles,832 ft
8,,2022-10-23 7:28 pmOct 23,Stumpjumper5010,,,13 miles,831 ft
9,,2022-10-23 6:08 pmOct 23,Kdavis1225,,,8 miles,407 ft
10,,2022-10-23 5:23 pmOct 23,icebvrg,,RD,44 miles,"1,404 ft"
11,,2022-10-23 4:58 pmOct 23,UncleFester98,,AM,45 miles,"1,826 ft"
12,,2022-10-23 4:50 pmOct 23,86Apex,,RD,17 miles,"1,075 ft"
13,,2022-10-23 4:46 pmOct 23,Davemtbfanatic,,,18 miles,"1,143 ft"
14,,2022-10-23 4:36 pmOct 23,Littlebuffalobladder,,CX,14 miles,"1,146 ft"
15,,2022-10-23 4:31 pmOct 23,Eddie427,,,19 miles,690 ft
16,,2022-10-23 4:05 pmOct 23,SNK922,,,17 miles,"1,306 ft"
17,,2022-10-23 3:50 pmOct 23,squanrud,,,11 miles,672 ft
18,,2022-10-23 3:29 pmOct 23,Dayander,,,26 miles,"1,447 ft"
19,,2022-10-23 3:10 pmOct 23,sudocrushms,,,11 miles,848 ft
20,,2022-10-23 3:06 pmOct 23,mYZlDy,,,8 miles,511 ft
21,,2022-10-23 3:05 pmOct 23,DanLUbws7,,,13 miles,965 ft
22,,2022-10-23 2:10 pmOct 23,bkelley94,,,35 miles,757 ft
23,,2022-10-23 1:59 amOct 23,CoryMecl,,,5 miles,236 ft
24,,2022-10-22 10:02 pmOct 22,Davemtbfanatic,,,12 miles,782 ft
25,,2022-10-22 7:05 pmOct 22,Jmbeck766,,,2 miles,80 ft
26,,2022-10-22 6:56 pmOct 22,AsgFQ,,,11 miles,787 ft
27,,2022-10-22 6:52 pmOct 22,buckdrew,,,11 miles,898 ft
28,,2022-10-22 6:30 pmOct 22,bonkmtb,,,12 miles,842 ft
29,,2022-10-22 5:20 pmOct 22,Pmars88,,,16 miles,"1,123 ft"
30,,2022-10-22 5:06 pmOct 22,KurtKnox,,,53 miles,"2,038 ft"
31,,2022-10-22 4:21 pmOct 22,NateStanoch,,,51 miles,"1,667 ft"
32,,2022-10-22 3:10 pmOct 22,Jmbeck766,,,12 miles,815 ft
33,,2022-10-22 1:56 pmOct 22,Kevruss74,,,52 miles,"1,566 ft"
34,,2022-10-22 1:45 pmOct 22,MarkgI74V,,,34 miles,"1,047 ft"
35,,2022-10-22 1:24 pmOct 22,hicksdrums,,,58 miles,"1,634 ft"
36,,2022-10-21 10:52 pmOct 21,Eddie427,,,7 miles,412 ft
37,,2022-10-21 10:03 pmOct 21,maxellingson,,,12 miles,713 ft
38,,2022-10-21 9:52 pmOct 21,Mfriggens,,,9 miles,749 ft
39,,2022-10-21 9:43 pmOct 21,sudocrushms,,,4 miles,405 ft
40,,2022-10-21 9:41 pmOct 21,Jzedanvt,,,9 miles,607 ft
41,,2022-10-21 9:29 pmOct 21,Eddie427,,,10 miles,789 ft
42,,2022-10-21 9:19 pmOct 21,BRW2020,,,11 miles,823 ft
43,,2022-10-21 9:18 pmOct 21,Flailaway,,,4 miles,149 ft
44,,2022-10-21 9:14 pmOct 21,chuckMPLS,,,6 miles,243 ft
45,,2022-10-21 9:09 pmOct 21,Abbusack,,,17 miles,"1,285 ft"
46,,2022-10-21 9:03 pmOct 21,Sponh001,,,6 miles,516 ft
47,,2022-10-21 8:39 pmOct 21,werts,,AM,13 miles,846 ft
48,,2022-10-21 8:31 pmOct 21,KevinFriasvjC,,XC,3 miles,192 ft
49,,2022-10-21 8:07 pmOct 21,MarkgI74V,,,22 miles,948 ft
50,,2022-10-21 7:12 pmOct 21,Dayander,,,18 miles,"1,007 ft"
51,,2022-10-21 7:10 pmOct 21,ElliotZismerzL8,,,11 miles,814 ft
52,,2022-10-21 6:59 pmOct 21,shrednuts,,,13 miles,613 ft
53,,2022-10-21 4:56 pmOct 21,ShoobyBrew,,,24 miles,"1,472 ft"
54,,2022-10-21 4:09 pmOct 21,JordoDoesIt,,,9 miles,681 ft
55,,2022-10-21 3:04 pmOct 21,jongregory,,,11 miles,706 ft
56,,2022-10-21 12:07 amOct 21,Kdavis1225,,,13 miles,679 ft
57,,2022-10-20 10:54 pmOct 20,Jfotsch,,,9 miles,785 ft
58,,2022-10-20 10:42 pmOct 20,stokes72,,,10 miles,890 ft
59,,2022-10-20 10:05 pmOct 20,Treeman12,,,9 miles,773 ft
60,,2022-10-20 10:00 pmOct 20,ajc3,,,5 miles,374 ft
61,,2022-10-20 9:53 pmOct 20,ekrubm,,,9 miles,249 ft
62,,2022-10-20 9:51 pmOct 20,Abbusack,,,14 miles,817 ft
63,,2022-10-20 9:49 pmOct 20,Dayander,,,16 miles,888 ft
64,,2022-10-20 9:19 pmOct 20,haram3,,,6 miles,505 ft
65,,2022-10-20 9:14 pmOct 20,alfotsch,,,6 miles,414 ft
66,,2022-10-20 9:13 pmOct 20,verbeke06,,,18 miles,770 ft
67,,2022-10-20 8:10 pmOct 20,PaulMN,,AM,18 miles,"1,504 ft"
68,,2022-10-20 8:08 pmOct 20,ElliotZismerzL8,,,11 miles,894 ft
69,,2022-10-20 5:34 pmOct 20,Lostinolaf,,,13 miles,"1,143 ft"
70,,2022-10-20 12:57 pmOct 20,alfotsch,,,5 miles,154 ft
71,,2022-10-20 11:28 amOct 20,maxellingson,,,7 miles,552 ft
72,,2022-10-19 11:31 pmOct 19,2004Volvo,,,4 miles,235 ft
73,,2022-10-19 10:34 pmOct 19,SwanyDelight,,AM,4 miles,218 ft
74,,2022-10-19 10:22 pmOct 19,MBTodd,,,7 miles,468 ft
75,,2022-10-19 9:32 pmOct 19,chuckMPLS,,,18 miles,531 ft
76,,2022-10-19 9:17 pmOct 19,Abbusack,,,17 miles,"1,245 ft"
77,,2022-10-19 9:17 pmOct 19,Dayander,,,13 miles,608 ft
78,,2022-10-19 9:14 pmOct 19,ajc3,,,4 miles,248 ft
79,,2022-10-19 7:50 pmOct 19,Alexvcheatham,,,9 miles,401 ft
80,,2022-10-19 12:53 pmOct 19,ajc3,,,3 miles,211 ft
81,,2022-10-18 10:00 pmOct 18,DavidHx9B4T,,,4 miles,379 ft
82,,2022-10-18 9:54 pmOct 18,NateStanoch,,,13 miles,606 ft
83,,2022-10-18 9:45 pmOct 18,chuckMPLS,,,6 miles,256 ft
84,,2022-10-18 9:44 pmOct 18,ajc3,,,3 miles,237 ft
85,,2022-10-18 9:09 pmOct 18,ElliotZismerzL8,,,14 miles,884 ft
86,,2022-10-18 8:29 pmOct 18,Rydevries,,,18 miles,"1,022 ft"
87,,2022-10-18 12:52 pmOct 18,ajc3,,,3 miles,207 ft
88,,2022-10-17 10:09 pmOct 17,Dayander,,,13 miles,634 ft
89,,2022-10-17 9:29 pmOct 17,ajc3,,,4 miles,275 ft
90,,2022-10-17 12:36 pmOct 17,ajc3,,,4 miles,333 ft
91,,2022-10-17 1:00 amOct 17,grantbob94,,AM,6 miles,742 ft
92,,2022-10-16 8:56 pmOct 16,Sroehl,,,7 miles,562 ft
93,,2022-10-16 7:40 pmOct 16,Dayander,,,13 miles,636 ft
94,,2022-10-16 7:11 pmOct 16,bonkmtb,,,14 miles,"1,002 ft"
95,,2022-10-16 4:29 pmOct 16,lunchbox87,,,5 miles,501 ft
96,,2022-10-16 4:25 pmOct 16,kyokoyoshida,,AM,13 miles,"1,012 ft"
97,,2022-10-16 4:22 pmOct 16,Rydevries,,,18 miles,"1,062 ft"
98,,2022-10-16 3:08 pmOct 16,sudocrushms,,,5 miles,428 ft
99,,2022-10-16 3:03 pmOct 16,mYZlDy,,,6 miles,404 ft
100,,2022-10-16 2:41 pmOct 16,SullivanGrahamMlH,,,19 miles,857 ft
101,,2022-10-16 2:38 pmOct 16,ryberglund,,,21 miles,"1,212 ft"
102,,2022-10-16 2:36 pmOct 16,btwortho13,,,16 miles,959 ft
103,,2022-10-16 1:01 pmOct 16,mattweier,,,38 miles,"3,642 ft"
