,Unnamed: 0,created,username,Unnamed: 3,type,dist,climb
0,,2022-10-23 9:03 pmOct 23,delacr0ix,,Gravel,3 miles,232 ft
1,,2022-10-23 8:44 pmOct 23,creed27,,,15 miles,"1,085 ft"
2,,2022-10-22 3:17 pmOct 22,ACarrell,,,10 miles,687 ft
3,,2022-10-18 9:06 pmOct 18,sudocrushms,,,5 miles,279 ft
4,,2022-10-15 9:23 pmOct 15,mnmtb LCA,,AM,8 miles,527 ft
5,,2022-10-15 7:16 pmOct 15,Johris18,,,4 miles,268 ft
6,,2022-10-15 6:36 pmOct 15,SavageCyclist,,,6 miles,298 ft
7,,2022-10-14 8:13 pmOct 14,sudocrushms,,,3 miles,245 ft
8,,2022-10-14 6:15 pmOct 14,BikerTyGuy,,DH,6 miles,514 ft
9,,2022-10-13 10:03 pmOct 13,awood,,,9 miles,745 ft
10,,2022-10-13 9:57 pmOct 13,delacr0ix,,Gravel,4 miles,310 ft
11,,2022-10-11 1:24 pmOct 11,jongregory,,,5 miles,281 ft
12,,2022-10-10 10:24 pmOct 10,sudocrushms,,,6 miles,386 ft
13,,2022-10-10 10:10 pmOct 10,brianshoemaker,,AM,9 miles,671 ft
14,,2022-10-10 10:01 pmOct 10,mattlnec,,,10 miles,730 ft
15,,2022-10-8 8:45 pmOct 8,sudocrushms,,,6 miles,414 ft
16,,2022-10-6 9:55 pmOct 6,Rpm1087,,,10 miles,733 ft
17,,2022-10-6 9:55 pmOct 6,Cman36,,,14 miles,"1,194 ft"
18,,2022-10-5 1:47 pmOct 5,Anexplosifloris,,,13 miles,991 ft
19,,2022-10-2 11:09 pmOct 2,pbball,,,2 miles,92 ft
20,,2022-10-2 8:36 pmOct 2,tedsks,,,8 miles,667 ft
21,,2022-10-2 5:24 pmOct 2,MBK23VLX,,,4 miles,187 ft
22,,2022-9-29 10:39 pmSep 29,delacr0ix,,Gravel,5 miles,287 ft
23,,2022-9-29 10:29 pmSep 29,awood,,,12 miles,974 ft
24,,2022-9-29 7:33 pmSep 29,DavidetdWxL,,,6 miles,500 ft
25,,2022-9-28 10:40 pmSep 28,MTBJoyRider,,,5 miles,389 ft
26,,2022-9-28 10:37 pmSep 28,brad0383,,RD,3 miles,193 ft
27,,2022-9-28 10:29 pmSep 28,Miahbike,,,7 miles,516 ft
28,,2022-9-25 5:53 pmSep 25,Beancounter7791,,,8 miles,506 ft
29,,2022-9-25 3:32 pmSep 25,gfedz,,XC,2 miles,144 ft
30,,2022-9-24 7:32 pmSep 24,hibby11,,,6 miles,361 ft
31,,2022-9-21 9:29 pmSep 21,mnmtb LCA,,AM,5 miles,406 ft
32,,2022-9-20 10:31 pmSep 20,ErikMoe01,,,9 miles,564 ft
33,,2022-9-19 7:32 pmSep 19,Beancounter7791,,,7 miles,466 ft
34,,2022-9-15 10:36 pmSep 15,ErikMoe01,,,5 miles,364 ft
35,,2022-9-15 10:34 pmSep 15,Blunde,,,6 miles,376 ft
36,,2022-9-15 10:18 pmSep 15,Rnicholas,,,7 miles,288 ft
37,,2022-9-13 11:34 pmSep 13,awood,,,5 miles,350 ft
38,,2022-9-12 10:52 pmSep 12,PaulMN,,AM,10 miles,761 ft
39,,2022-9-12 10:50 pmSep 12,toadiesforcody,,,9 miles,578 ft
40,,2022-9-11 7:21 pmSep 11,NKGriffith,,,6 miles,449 ft
41,,2022-9-11 7:17 pmSep 11,Beancounter7791,,,10 miles,677 ft
42,,2022-9-11 3:29 pmSep 11,Mnebiker,,AM,9 miles,655 ft
43,,2022-9-10 9:13 pmSep 10,AdobeAwesome,,,7 miles,575 ft
44,,2022-9-8 10:34 pmSep 8,awood,,,7 miles,437 ft
45,,2022-9-8 10:34 pmSep 8,delacr0ix,,Gravel,7 miles,496 ft
46,,2022-9-8 8:50 pmSep 8,sudocrushms,,,5 miles,456 ft
47,,2022-9-8 6:59 pmSep 8,MTBJoyRider,,,6 miles,475 ft
48,,2022-9-8 5:44 pmSep 8,Cory117,,,6 miles,383 ft
49,,2022-9-8 1:35 pmSep 8,Anexplosifloris,,,13 miles,"1,024 ft"
50,,2022-9-6 10:46 pmSep 6,Blunde,,,9 miles,637 ft
51,,2022-9-6 10:31 pmSep 6,ErikMoe01,,,7 miles,438 ft
52,,2022-9-4 2:25 pmSep 4,TimothyAbbott,,,8 miles,504 ft
53,,2022-9-3 6:20 pmSep 3,Rnicholas,,,4 miles,277 ft
54,,2022-9-2 11:21 pmSep 2,9guy9,,,3 miles,271 ft
55,,2022-9-2 12:12 amSep 2,cullub,,,4 miles,278 ft
56,,2022-9-1 10:06 pmSep 1,jrwoff,,,8 miles,537 ft
57,,2022-9-1 10:01 pmSep 1,Rpm1087,,,11 miles,741 ft
58,,2022-9-1 9:54 pmSep 1,Cman36,,,14 miles,851 ft
59,,2022-8-31 10:43 pmAug 31,sudocrushms,,,8 miles,547 ft
60,,2022-8-31 7:05 pmAug 31,jasonkerber,,,22 miles,"1,771 ft"
61,,2022-8-30 11:09 pmAug 30,mountainbikegeezer,,,3 miles,270 ft
62,,2022-8-30 8:55 pmAug 30,ccengland,,,12 miles,213 ft
63,,2022-8-30 3:44 pmAug 30,c-bskt,,,7 miles,407 ft
64,,2022-8-29 6:19 pmAug 29,JuniperandHarold,,,13 miles,689 ft
65,,2022-8-28 10:59 pmAug 28,JuniperandHarold,,,10 miles,622 ft
66,,2022-8-27 1:32 pmAug 27,eakqL6,,,4 miles,377 ft
67,,2022-8-26 8:56 pmAug 26,MTBJoyRider,,,9 miles,773 ft
68,,2022-8-25 11:08 pmAug 25,delacr0ix,,Gravel,6 miles,451 ft
69,,2022-8-25 9:44 pmAug 25,BikerTyGuy,,DH,5 miles,483 ft
70,,2022-8-24 11:35 pmAug 24,shakomoser55,,,7 miles,580 ft
71,,2022-8-24 10:53 pmAug 24,gfedz,,XC,2 miles,187 ft
72,,2022-8-24 9:37 pmAug 24,sudocrushms,,,8 miles,495 ft
73,,2022-8-24 1:51 pmAug 24,Anexplosifloris,,,18 miles,"1,271 ft"
74,,2022-8-22 11:48 pmAug 22,JgN5Tk,,,5 miles,237 ft
75,,2022-8-21 10:46 pmAug 21,pdelphey,,AM,7 miles,496 ft
76,,2022-8-21 10:08 pmAug 21,KNorland,,,8 miles,486 ft
77,,2022-8-21 10:05 pmAug 21,Hudsora,,,8 miles,621 ft
78,,2022-8-21 10:03 pmAug 21,lega0035,,,8 miles,714 ft
79,,2022-8-21 1:46 pmAug 21,Erik4rkunM,,,9 miles,625 ft
80,,2022-8-20 11:41 pmAug 20,DanielfromMN,,,5 miles,384 ft
81,,2022-8-20 7:53 pmAug 20,AndrewvkuX76,,,5 miles,517 ft
82,,2022-8-20 6:50 pmAug 20,sudocrushms,,,7 miles,513 ft
83,,2022-8-20 4:52 pmAug 20,DanielfromMN,,,3 miles,244 ft
84,,2022-8-20 3:26 pmAug 20,Slombard,,AM,14 miles,851 ft
85,,2022-8-17 9:38 pmAug 17,guaranlam,,,8 miles,417 ft
86,,2022-8-17 9:36 pmAug 17,sudocrushms,,,12 miles,537 ft
87,,2022-8-17 3:40 pmAug 17,Flusi,,,6 miles,444 ft
88,,2022-8-16 11:21 pmAug 16,DanielfromMN,,,6 miles,519 ft
89,,2022-8-16 5:16 pmAug 16,FullFisted,,,5 miles,543 ft
90,,2022-8-15 11:22 pmAug 15,DanielfromMN,,,5 miles,381 ft
91,,2022-8-15 4:01 pmAug 15,Flusi,,,3 miles,230 ft
92,,2022-8-14 10:28 pmAug 14,vitaliykondratyuk,,,6 miles,428 ft
93,,2022-8-14 9:10 pmAug 14,sudocrushms,,,13 miles,547 ft
94,,2022-8-14 3:16 pmAug 14,alfotsch,,,10 miles,760 ft
95,,2022-8-13 8:08 pmAug 13,ChristopherDOvxZw,,,3 miles,262 ft
96,,2022-8-13 7:25 pmAug 13,ChristopherDOvxZw,,,2 miles,171 ft
97,,2022-8-13 3:37 pmAug 13,gfedz,,XC,3 miles,166 ft
98,,2022-8-11 10:55 pmAug 11,awood,,,10 miles,743 ft
99,,2022-8-11 10:51 pmAug 11,delacr0ix,,Gravel,10 miles,708 ft
100,,2022-8-11 9:33 pmAug 11,sudocrushms,,,6 miles,406 ft
101,,2022-8-10 11:28 pmAug 10,DanielfromMN,,,7 miles,581 ft
102,,2022-8-10 10:28 pmAug 10,Flusi,,,4 miles,306 ft
103,,2022-8-5 10:30 pmAug 5,Bcieluch,,,8 miles,634 ft
104,,2022-8-5 7:51 pmAug 5,Cory117,,,5 miles,336 ft
105,,2022-8-5 12:12 amAug 5,amattys,,,2 miles,130 ft
106,,2022-8-3 9:07 pmAug 3,sudocrushms,,,8 miles,591 ft
107,,2022-8-3 8:34 pmAug 3,jonathangamlin,,,27 miles,873 ft
108,,2022-8-2 11:00 pmAug 2,JBergquist,,,5 miles,110 ft
109,,2022-8-2 1:41 pmAug 2,Anexplosifloris,,,14 miles,"1,046 ft"
110,,2022-8-1 11:24 pmAug 1,douglasallanmn,,,7 miles,627 ft
111,,2022-8-1 11:23 pmAug 1,mattlnec,,,6 miles,537 ft
112,,2022-7-29 3:21 pmJul 29,Slombard,,AM,3 miles,269 ft
113,,2022-7-28 11:06 pmJul 28,awood,,,10 miles,587 ft
114,,2022-7-28 10:50 pmJul 28,delacr0ix,,Gravel,7 miles,556 ft
115,,2022-7-28 5:01 pmJul 28,Bmelton,,,4 miles,404 ft
116,,2022-7-28 12:26 amJul 28,Daray,,,5 miles,295 ft
117,,2022-7-27 11:16 pmJul 27,Miahbike,,,9 miles,653 ft
118,,2022-7-27 10:23 pmJul 27,Bcieluch,,,9 miles,584 ft
119,,2022-7-27 9:56 pmJul 27,jfaughnan,,,9 miles,347 ft
120,,2022-7-27 9:31 pmJul 27,mountainbikegeezer,,,"4,879 ft",15 ft
121,,2022-7-26 8:41 pmJul 26,Swift618,,AM,6 miles,360 ft
122,,2022-7-25 10:32 pmJul 25,Brian39,,,9 miles,680 ft
123,,2022-7-24 9:37 pmJul 24,PlanBMTB,,,5 miles,395 ft
124,,2022-7-24 9:37 pmJul 24,CdS3hH3B,,,5 miles,412 ft
125,,2022-7-24 3:23 pmJul 24,tuckershreds,,,7 miles,529 ft
126,,2022-7-24 2:55 pmJul 24,mattlnec,,,9 miles,756 ft
127,,2022-7-24 1:31 pmJul 24,jpete24,,,7 miles,494 ft
128,,2022-7-23 4:05 pmJul 23,sudocrushms,,,4 miles,349 ft
129,,2022-7-23 2:58 pmJul 23,cjammiller,,,7 miles,552 ft
130,,2022-7-23 2:53 pmJul 23,meithkiller,,,7 miles,554 ft
