username,profile_link,city,state,country,recent_ride_locations,admin_region,is_regional_admin
Dbussie,https://www.trailforks.com/profile/Dbussie,unknown,unknown,unknown,[],"{'region_link': '', 'region_name': ''}",False
AndyLev,https://www.trailforks.com/profile/AndyLev,Buffalo,Minnesota,USA,[],"{'region_link': '', 'region_name': ''}",False
MTBshreddr,https://www.trailforks.com/profile/MTBshreddr,Deerwood Township,Minnesota,USA,"['Cuyuna Country State Recreation Area', 'Crow Wing County', 'Cuyuna', 'Crosby', 'Stratton Open Space', 'Detroit Mountain Recreation Area', 'Irondale Township', 'Murphy-Hanrehan Park', 'Milaca Trails', 'Sunfish Lake Park', 'Roseville', 'Rice Lake Non-Motorized Area', 'Maple Grove', 'Eagan', 'Lebanon Hills', 'Terrace Oaks', 'Theodore Wirth Park', 'Jackson', 'Battle Creek', 'Whitetail Ridge', 'Metro', 'Bayfield', 'Minneapolis', 'Carver Lake Park', 'Salem Hills', 'Inver Grove Heights', 'Cleary Lake Regional Park', 'Minnesota River Bottoms', 'Elm Creek Park', 'Burnsville', 'St. Paul', 'Lakeville', 'Bloomington']","{'region_link': '', 'region_name': ''}",False
Mpearce,https://www.trailforks.com/profile/Mpearce,Gilbert,Arizona,USA,"['Murphy-Hanrehan Park', 'Lebanon Hills', 'Bloomington', 'Theodore Wirth Park', 'Crystal Bridges', 'Slaughter Pen Trails', 'Little Sugar', 'Coler Mountain Bike Preserve', 'Elm Creek Park', 'Savage', 'Levis -Trow Mound', 'Lake Rebecca', 'Marquette', 'Minneapolis', 'Hawes', 'Minnesota River Bottoms', 'Waconia', 'Lowes Creek County Park', 'Copper Harbor Trail System', 'Cuyuna Country State Recreation Area', 'Battle Creek', 'Whitetail Ridge', 'Monarch - Carver Park Reserve', 'Carver County', 'Tioga Recreation Area', 'Redhead Mountain Bike Park', 'Mission Creek', ""Phil's World"", 'Telluride Bike Park', 'Grandview Ridge', 'Black Hills', 'Chequamegon Area (CAMBA)', 'Britton Peak', 'Split Rock Wilds', 'Eagan', 'West Avon Preserve', 'Fort Valley Trail System', 'McDowell Sonoran Preserve', 'Riparian Preserve at Water Ranch', 'McDowell Mountain Regional Park', 'Tempe', 'South Mountain Preserve', 'Queen Creek', 'South Mountain Park and Preserve', 'Mesa', ""Brown's Ranch"", 'Gilbert', 'Klondike Bluffs', 'Dead Horse Point', 'Sand Flats Recreation Area', 'South Mountain Park', 'Sedona', 'Adobe Jack', 'Gold Canyon', 'Cave Creek Regional Park', 'Phoenix Mountains Preserve', 'Minnesota River Trail', 'Owatonna', 'Usery Mountains', 'Hartley Park', 'Piedmont & Brewer', 'Northfield', 'Traverse des Sioux Park', 'Chaska', 'Telluride Bike Park &nearr;', 'Fort Lewis College', 'Hawks Ridge', 'Faribault', 'Flagstaff', 'Henderson', 'Chandler', 'Springdale', 'Guacamole', 'Virgin', 'Gooseberry Mesa', 'McDowell Mountain', 'Maple Grove', 'Thumb Butte', 'Phoenix', 'Prior Lake', 'Scottsdale', 'Boggy Draw', 'San Francisco Peaks', 'McDowell Mountain Park', 'Lakeville', 'Spence Basin', 'Goldwater Lakes', 'Campbell Mesa Trail System', 'Santan', 'Dry Creek', 'Papago Park', 'West Lake Marion MTB Trails', 'Cave Creek', 'Prescott', 'Fantasy Island North Singletrack', 'Village of Oak Creek', 'Phoenix Sonoran Preserve', 'Apache Junction', 'Williams', 'Jefferson County', 'Buffalo Creek', 'Staunton State Park', 'Moab Brand Trails']","{'region_link': '', 'region_name': ''}",False
ACarrell,https://www.trailforks.com/profile/ACarrell,Minneapolis,Minnesota,USA,"['Lebanon Hills', 'West Lake Marion Park', 'Monarch - Carver Park Reserve', 'Lone Lake Park', 'Minnetonka', 'Whitetail Ridge', 'Theodore Wirth Park', 'Cuyuna Country State Recreation Area', 'Irondale Township', 'Xcel Energy Mountain Bike Park', 'Giants Ridge', 'Redhead Mountain Bike Park', 'Elm Creek Park', 'Split Rock Wilds', 'Split Rock Lighthouse State Park', 'Chaska', 'Murphy-Hanrehan Park', 'Slaughter Pen Trails', 'HandCut Hollow', 'Coler Preserve', 'Park Spring Park', 'mountain home', 'Minneapolis', 'Coon Rapids', 'Bloomington', 'Minnesota River Bottoms', 'cumberland', 'North Overlook', 'Pella', 'Hawks Ridge', 'Hixon Forest - Lower and Upper', 'Eagle River', 'Crystal Bridges', 'Little Sugar', 'Waconia', 'Carver Park Reserve', 'Elk River', 'Cuyuna', 'Cherney Maribel Caves Park', 'Sheboygan', 'WinMan Trails', 'Lawrence', 'Wyandotte County Lake Park', 'West Lake Marion MTB Trails']","{'region_link': '', 'region_name': ''}",False
FatBoyFord,https://www.trailforks.com/profile/FatBoyFord,Victoria,Minnesota,USA,"['Minnesota River Bottoms', 'Prior Lake', 'Murphy-Hanrehan Park', 'Waconia', 'Lakeville', 'Minnesota River Trail', 'Jersey Valley County Park', 'Chaska', 'Lebanon Hills', 'Minnesota', 'Monarch - Carver Park Reserve', 'Savage', 'Cleary Lake Regional Park', 'Roseville', 'Metro Region', 'Carver County', 'Northland Arboretum', 'Nerstrand', 'Carlton County', 'Rockford', 'Bloomington', 'Hawks Ridge', 'Indianapolis', 'Lake Rebecca', 'Indy Cycloplex', 'Burnsville', 'Faribault', 'Metro', 'Minneapolis', 'South Central', 'Maple Grove', 'Franklin', 'Sedona', 'River Bluff Trails', 'Elm Creek Park', 'Carver Lake Park']","{'region_link': '', 'region_name': ''}",False
Tealy33,https://www.trailforks.com/profile/Tealy33,unknown,unknown,unknown,"['Lebanon Hills', 'Marquette Mountain Resort Downhill Bike Park &nearr;', 'Chequamegon Area (CAMBA)', 'Copper Harbor Trail System', 'Terrace Oaks', 'Giants Ridge', 'Al Quaal Recreation Area', 'Greenland', 'SöKē Adventure Trails', 'Marquette Mountain Resort Bike Park', 'Marquette', 'Prior Lake', 'Murphy-Hanrehan Park', 'Copper Harbor', 'Giants Ridge &nearr;', 'Bloomington', 'Tioga Recreation Area', 'East Bluff Bike Park', 'West Lake Marion Park', 'Cuyuna Country State Recreation Area', 'Burnsville', 'Monarch - Carver Park Reserve', 'Marquette South Trails', 'Marquette Mountain Ski Hill/Bike park &nearr;', 'Savage', 'Passion Play', 'Coler Preserve', 'Runestone Park', 'Lake Brophy County Park', 'West Lake Marion MTB Trails', 'Lake Rebecca', 'Lutsen', 'Pincushion Mountain Bike Trails', 'North Cheyenne Cañon', 'River Falls']","{'region_link': '', 'region_name': ''}",False
Erinforsman00,https://www.trailforks.com/profile/Erinforsman00,unknown,unknown,unknown,[],"{'region_link': '', 'region_name': ''}",False
tuckershreds,https://www.trailforks.com/profile/tuckershreds,Eagan,Minnesota,USA,"['Lebanon Hills', 'Salem Hills', 'Murphy-Hanrehan Park', 'Giants Ridge &nearr;', 'Monticello', 'Bertram Chain of Lakes', 'Spirit Mountain Bike Park', 'West Lake Marion Park', 'Split Rock Wilds', 'Carver Lake Park', 'Sunfish Lake Park', 'Theodore Wirth Park', 'Cuyuna Country State Recreation Area', 'Xcel Energy Mountain Bike Park', 'Bloomington', 'Battle Creek', 'Monarch - Carver Park Reserve', 'Pinehurst Park', 'Spirit Mountain &nearr;', 'Biwabik', 'Cuyuna', 'Eagan', 'Evolution Bike Park &nearr;', '18 Road', 'Terrace Oaks', 'Lakeville', 'Chaska', 'Piedmont & Brewer', 'Duluth', 'Lutsen', 'Whitetail Ridge', ""Giant's Ridge &nearr;"", 'West Lake Marion MTB Trails', 'Crosby', 'Eagan Bike Park', 'Welch Village MTB Park &nearr;', 'Copper Harbor Trail System', 'Elm Creek Park', 'Bertram Lake', 'Rock Lake State Nature Area', 'Welch Village MTB Park']","{'region_link': '', 'region_name': ''}",False
9guy9,https://www.trailforks.com/profile/9guy9,Mankato,Minnesota,USA,"['Kiwanis Recreation Area', 'Mount Kato', 'West Lake Marion Park', 'Lebanon Hills', 'Hixon Forest - Lower and Upper', 'Giants Ridge', 'Mount Kato &nearr;', 'Murphy-Hanrehan Park', 'Moab Brand Trails', 'La Sal Mountains', 'Sand Flats Recreation Area', 'Amasa Back', 'Kokopelli Loops', 'North Mankato', 'Seven Mile Creek', 'Mankato', 'Britton Peak', 'Cuyuna Country State Recreation Area', 'Storm Mountain Trails', 'The Rattlesnake', 'Tiger Mountain']","{'region_link': '', 'region_name': ''}",False
