,Unnamed: 0,created,username,Unnamed: 3,type,dist,climb
0,,2022-10-23 11:21 pmOct 23,DownTown38,,,3 miles,68 ft
1,,2022-10-22 6:50 pmOct 22,pbball,,,6 miles,140 ft
2,,2022-10-19 5:35 pmOct 19,NKGriffith,,,9 miles,221 ft
3,,2022-10-18 8:16 pmOct 18,rhowcow,,,10 miles,258 ft
4,,2022-10-15 6:49 pmOct 15,RiverMonster37,,,5 miles,118 ft
5,,2022-10-12 4:01 pmOct 12,jongregory,,,4 miles,57 ft
6,,2022-10-6 10:05 pmOct 6,SavageCyclist,,,5 miles,85 ft
7,,2022-10-6 9:31 pmOct 6,MBK23VLX,,,10 miles,224 ft
8,,2022-10-2 6:15 pmOct 2,ChrisNigburFGk,,,17 miles,524 ft
9,,2022-10-1 4:01 pmOct 1,DownTown38,,,5 miles,117 ft
10,,2022-9-29 10:15 pmSep 29,jrwoff,,,10 miles,148 ft
11,,2022-9-29 10:14 pmSep 29,Scottymtb17,,,11 miles,284 ft
12,,2022-9-29 10:12 pmSep 29,Rpm1087,,,14 miles,308 ft
13,,2022-9-29 9:11 pmSep 29,Cman36,,,31 miles,619 ft
14,,2022-9-24 6:28 pmSep 24,Rpm1087,,,11 miles,256 ft
15,,2022-9-24 1:44 pmSep 24,DLC1,,,10 miles,222 ft
16,,2022-9-23 10:19 pmSep 23,cullub,,,6 miles,111 ft
17,,2022-9-23 7:48 pmSep 23,Nnascimento,,AM,9 miles,198 ft
18,,2022-9-19 10:48 pmSep 19,Emmers68,,,7 miles,195 ft
19,,2022-9-15 11:07 pmSep 15,pbball,,,6 miles,107 ft
20,,2022-9-11 8:35 pmSep 11,MBK23VLX,,,6 miles,134 ft
21,,2022-9-11 6:34 pmSep 11,ChrisNigburFGk,,,16 miles,489 ft
22,,2022-9-11 4:16 pmSep 11,BlueM00se,,,5 miles,140 ft
23,,2022-9-10 9:20 pmSep 10,Zachmartens,,,3 miles,57 ft
24,,2022-9-10 4:40 pmSep 10,inframode,,,7 miles,157 ft
25,,2022-9-10 3:26 pmSep 10,RiverMonster37,,,8 miles,168 ft
26,,2022-9-10 1:36 pmSep 10,DLC1,,,10 miles,237 ft
27,,2022-9-5 6:12 pmSep 5,Bmack003,,,6 miles,92 ft
28,,2022-9-5 3:53 pmSep 5,JhruIb,,,5 miles,86 ft
29,,2022-9-5 3:53 pmSep 5,ShoobyBrew,,,5 miles,94 ft
30,,2022-9-3 3:01 pmSep 3,dachoutom,,,5 miles,88 ft
31,,2022-8-28 8:23 pmAug 28,Rpm1087,,,7 miles,159 ft
32,,2022-8-28 7:25 pmAug 28,Schilw1,,,6 miles,158 ft
33,,2022-8-28 5:40 pmAug 28,ryberglund,,,9 miles,194 ft
34,,2022-8-28 5:06 pmAug 28,ErikMoe01,,,13 miles,260 ft
35,,2022-8-28 4:33 pmAug 28,BradHaugen,,,11 miles,235 ft
36,,2022-8-28 4:29 pmAug 28,AndersMyhre1,,,9 miles,186 ft
37,,2022-8-28 4:25 pmAug 28,GriffinSn1AVe,,,13 miles,229 ft
38,,2022-8-28 4:13 pmAug 28,Brekken,,,9 miles,196 ft
39,,2022-8-28 4:08 pmAug 28,PaulRID0jn,,,10 miles,189 ft
40,,2022-8-28 3:45 pmAug 28,Cman36,,,15 miles,278 ft
41,,2022-8-28 2:14 pmAug 28,Rytoast,,,7 miles,142 ft
42,,2022-8-28 1:52 pmAug 28,Seyore,,,14 miles,374 ft
43,,2022-8-28 12:58 pmAug 28,Rnicholas,,,21 miles,385 ft
44,,2022-8-28 11:35 amAug 28,Twtrue,,,3 miles,85 ft
45,,2022-8-27 9:57 pmAug 27,benmogush,,,3 miles,75 ft
46,,2022-8-27 9:56 pmAug 27,Twtrue,,,3 miles,75 ft
47,,2022-8-27 9:43 pmAug 27,Rnicholas,,,6 miles,96 ft
48,,2022-8-27 9:40 pmAug 27,benmogush,,,3 miles,70 ft
49,,2022-8-27 9:39 pmAug 27,Tboned29,,,7 miles,145 ft
50,,2022-8-27 9:35 pmAug 27,awood,,,3 miles,81 ft
51,,2022-8-27 9:34 pmAug 27,Blunde,,,7 miles,126 ft
52,,2022-8-27 9:29 pmAug 27,nbeukema,,,3 miles,96 ft
53,,2022-8-27 9:25 pmAug 27,delacr0ix,,Gravel,4 miles,101 ft
54,,2022-8-27 9:23 pmAug 27,jhendrickson712,,AM,6 miles,160 ft
55,,2022-8-27 8:58 pmAug 27,jekholm,,,4 miles,84 ft
56,,2022-8-27 7:00 pmAug 27,heidiolson,,,3 miles,72 ft
57,,2022-8-27 3:33 pmAug 27,Seyore,,,8 miles,138 ft
58,,2022-8-27 3:07 pmAug 27,men10,,,18 miles,164 ft
59,,2022-8-27 3:07 pmAug 27,drevlowa,,,19 miles,420 ft
60,,2022-8-27 3:07 pmAug 27,heidiolson,,,7 miles,156 ft
61,,2022-8-27 2:51 pmAug 27,Blunde,,,7 miles,119 ft
62,,2022-8-27 2:22 pmAug 27,SandbarMTB,,,16 miles,373 ft
63,,2022-8-27 2:19 pmAug 27,Cman36,,,13 miles,265 ft
64,,2022-8-27 2:15 pmAug 27,ErikMoe01,,,11 miles,300 ft
65,,2022-8-27 2:13 pmAug 27,mattlnec,,,4 miles,112 ft
66,,2022-8-27 1:18 pmAug 27,jhendrickson712,,AM,15 miles,333 ft
67,,2022-8-26 11:56 pmAug 26,Bikejunky1,,,4 miles,76 ft
68,,2022-8-26 11:13 pmAug 26,men10,,,11 miles,138 ft
69,,2022-8-26 11:01 pmAug 26,BradHaugen,,,3 miles,77 ft
70,,2022-8-26 10:45 pmAug 26,Silly1,,,11 miles,249 ft
71,,2022-8-26 10:40 pmAug 26,seberly,,,3 miles,82 ft
72,,2022-8-26 10:40 pmAug 26,BradHaugen,,,4 miles,80 ft
73,,2022-8-26 10:21 pmAug 26,Eric8c7Vdc,,,7 miles,181 ft
74,,2022-8-26 10:16 pmAug 26,BradHaugen,,,4 miles,83 ft
75,,2022-8-26 10:10 pmAug 26,Rpm1087,,,7 miles,157 ft
76,,2022-8-26 10:09 pmAug 26,Rnicholas,,,7 miles,164 ft
77,,2022-8-26 9:57 pmAug 26,GriffinSn1AVe,,,10 miles,212 ft
78,,2022-8-26 9:53 pmAug 26,BradHaugen,,,4 miles,93 ft
79,,2022-8-26 9:48 pmAug 26,jhendrickson712,,AM,8 miles,211 ft
80,,2022-8-26 9:47 pmAug 26,ccengland,,,7 miles,112 ft
81,,2022-8-26 9:42 pmAug 26,CoachJeffSmith,,,17 miles,374 ft
82,,2022-8-26 9:15 pmAug 26,Seyore,,,14 miles,311 ft
83,,2022-8-26 12:35 amAug 26,ajc3,,,2 miles,51 ft
84,,2022-8-25 11:23 pmAug 25,Flailaway,,,5 miles,119 ft
85,,2022-8-25 11:03 pmAug 25,ajc3,,,13 miles,300 ft
86,,2022-8-24 10:55 pmAug 24,MBK23VLX,,,7 miles,191 ft
87,,2022-8-24 5:16 pmAug 24,DavidetdWxL,,,4 miles,100 ft
88,,2022-8-23 9:45 pmAug 23,Joshzak,,,4 miles,97 ft
89,,2022-8-23 9:42 pmAug 23,jrwoff,,,12 miles,141 ft
90,,2022-8-23 9:31 pmAug 23,CoachJeffSmith,,,17 miles,313 ft
91,,2022-8-23 9:14 pmAug 23,Cman36,,,20 miles,331 ft
92,,2022-8-23 9:01 pmAug 23,nt5k,,,23 miles,461 ft
93,,2022-8-22 10:44 pmAug 22,Paulhill725,,,10 miles,215 ft
94,,2022-8-22 10:04 pmAug 22,PaulRID0jn,,,16 miles,307 ft
95,,2022-8-22 10:03 pmAug 22,Bikejunky1,,,9 miles,127 ft
96,,2022-8-22 12:31 amAug 22,mattlnec,,,4 miles,94 ft
97,,2022-8-21 9:02 pmAug 21,RichMcNamara4Em,,,11 miles,279 ft
98,,2022-8-21 5:20 pmAug 21,jcordell13,,,5 miles,100 ft
99,,2022-8-21 3:02 pmAug 21,dvlieger,,,6 miles,141 ft
100,,2022-8-21 12:59 pmAug 21,warrenjmoser,,,16 miles,353 ft
101,,2022-8-20 10:04 pmAug 20,mattw0ng,,AM,8 miles,206 ft
102,,2022-8-20 8:39 pmAug 20,Blk06er,,,10 miles,220 ft
103,,2022-8-20 4:20 pmAug 20,Brycejb328,,,8 miles,203 ft
104,,2022-8-20 3:18 pmAug 20,McEligot,,,7 miles,169 ft
